Year,Week,Rank,Player,Team,FPTS,Score,Y/A,FPTS/G,FPTS,Rush_TD,FL,ATT,REC,TGT,Y/R,Rush_Yds,LG,20+,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,72,Mike Gillislee,new_orleans_saints,-1.1,4.15,3.0,-1.1,-1.1,0,1,3,0,0,0.0,9,5,0,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,73,Alex Armah,carolina_panthers,6.1,4.15,1.0,6.1,6.1,1,0,1,0,0,0.0,1,1,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
2018,1,74,Robert Kelley,unknown,0.7,4.15,2.3,0.7,0.7,0,0,3,0,0,0.0,7,6,0,,,,,,,,,,,,,,,,
2018,1,75,Shaun Wilson,tampa_bay_buccaneers,0.6,4.0,6.0,0.6,0.6,0,0,1,0,0,0.0,6,6,0,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,76,Rod Smith,dallas_cowboys,0.5,3.35,5.0,0.5,0.5,0,0,1,0,1,0.0,5,5,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
2018,1,77,Devontae Booker,denver_broncos,1.5,3.25,2.0,1.5,1.5,0,0,2,2,2,5.5,4,2,0,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,78,Kyle Juszczyk,san_francisco_49ers,5.6,2.9,0.0,5.6,5.6,0,0,0,1,2,56.0,0,0,0,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,79,Corey Grant,jacksonville_jaguars,0.3,2.05,3.0,0.3,0.3,0,0,1,0,0,0.0,3,3,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,80,Chris Ivory,buffalo_bills,0.3,1.95,1.0,0.3,0.3,0,0,3,0,0,0.0,3,3,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,81,James Develin,new_england_patriots,2.2,1.5,0.0,2.2,2.2,0,0,0,4,4,5.5,0,0,0,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,82,Jacquizz Rodgers,tampa_bay_buccaneers,0.3,0.98,0.5,0.3,0.3,0,0,2,1,1,2.0,1,3,0,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,83,Derek Watt,los_angeles_chargers,0.1,0.75,1.0,0.1,0.1,0,0,1,0,0,0.0,1,1,0,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,84,Tyler Ervin,baltimore_ravens,1.2,0.7,0.0,1.2,1.2,0,0,0,1,1,12.0,0,0,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,85,Tyler Ervin,houston_texans,1.2,0.7,0.0,1.2,1.2,0,0,0,1,1,12.0,0,0,0,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,86,Tre Madden,seattle_seahawks,0.7,0.45,0.0,0.7,0.7,0,0,0,1,1,7.0,0,0,0,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,87,Michael Burton,chicago_bears,0.6,0.4,0.0,0.6,0.6,0,0,0,1,1,6.0,0,0,0,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,88,Wayne Gallman,new_york_giants,0.8,0.1,-1.0,0.8,0.8,0,0,1,2,2,4.5,-1,0,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,89,Damien Williams,kansas_city_chiefs,0.0,0.1,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,90,Jonathan Williams,indianapolis_colts,0.0,0.1,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
