city,state,stadium_name,Date,Time,latitude,longitude,timezone,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
Jacksonville,FL,TIAA Bank Field,2018-12-02,1:00PM,30.3239,-81.6373,America/New_York,25.8,0.0,103.32,77,1012.1
Green Bay,WI,Lambeau Field,2018-12-02,1:00PM,44.5013,-88.0622,America/Chicago,0.9,0.5,86.76,92,998.2
Detroit,MI,Ford Field,2018-12-02,1:00PM,42.34,-83.0456,America/Detroit,12.5,0.0,92.52,78,996.1
Las Vegas,NV,Allegiant Stadium,2018-12-02,4:05PM,36.0908,-115.183,America/Los_Angeles,10.2,0.0,50.4,27,1016.5
Nashville,TN,Nissan Stadium,2018-12-02,4:05PM,36.1665,-86.7713,America/Chicago,17.6,0.0,73.8,48,1003.8
Foxborough,MA,Gillette Stadium,2018-12-02,4:25PM,42.0909,-71.2643,America/New_York,13.0,0.9,70.2,100,1004.4
Seattle,WA,Lumen Field,2018-12-02,4:25PM,47.5952,-122.3316,America/Los_Angeles,7.0,0.0,3.6,81,1021.7
Pittsburgh,PA,Acrisure Stadium,2018-12-02,8:20PM,40.4468,-80.0158,America/New_York,11.9,0.0,51.84,73,999.3
Nashville,TN,Nissan Stadium,2018-12-06,8:20PM,36.1665,-86.7713,America/Chicago,5.3,0.0,21.6,60,1028.6
Green Bay,WI,Lambeau Field,2018-12-09,1:00PM,44.5013,-88.0622,America/Chicago,-3.7,0.0,51.480000000000004,76,1028.4
Orchard Park,NY,Highmark Stadium,2018-12-09,1:00PM,42.7738,-78.7868,America/New_York,-1.1,0.0,57.96000000000001,59,1027.3
