year,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2020.0,46789c7ebe239073e10cb9d4f5ac82b3,Dalton Keene,FA,TE,6.0,1.5999999999999996,4.6,0.27,0.8,16.0,0.0
2020.0,ebb3fdc4820975d95e9c5407f1f6e7ee,Eric Saubert,SEA,TE,8.0,1.5999999999999996,4.6,0.2,0.6,16.0,0.0
2020.0,2584414773e5bd038b0c8aca5dc04f33,Stephen Carlson,CHI,TE,16.0,3.0999999999999996,4.1,0.19,0.3,11.0,0.0
2020.0,7518f7caa5978b4498a64e5058addc5f,Ben Ellefson,FA,TE,7.0,3.0,4.0,0.43,0.6,10.0,0.0
2020.0,12d2804a381b38bad9a6f0511ac2a70b,Colby Parkinson,LAR,TE,6.0,1.6,3.6,0.27,0.6,16.0,0.0
2020.0,0cba62e8638a02d6bbc44cd50f00d3eb,Jake Butt,FA,TE,5.0,0.5,2.5,0.1,0.5,5.0,0.0
2020.0,e1e386a1ffd695064a7fbd4b6d77961f,Derek Carrier,FA,TE,16.0,1.4,2.4,0.09,0.2,14.0,0.0
2020.0,729cad7b275a55a5b212188dcc88b770,Blake Jarwin,FA,TE,1.0,1.2000000000000002,2.2,1.2,2.2,12.0,0.0
2020.0,2523cbff17327377c811552cd6f62c80,Josiah Deguara,FA,TE,2.0,1.2000000000000002,2.2,0.6,1.1,12.0,0.0
2020.0,cbea6559c42904910438978045f8eb52,Luke Willson,FA,TE,8.0,1.2000000000000002,2.2,0.15,0.3,12.0,0.0
2020.0,f000d4ae8b2201490d6ef492e3a2561c,Temarrick Hemingway,FA,TE,8.0,1.0,2.0,0.12,0.3,10.0,0.0
2020.0,d157649a424e04ca8226acb500468040,Jeremy Sprinkle,FA,TE,16.0,0.6000000000000001,1.6,0.04,0.1,6.0,0.0
2020.0,dbda03b6dd3e1d9dfb79d21e847f3575,Brandon Dillon,FA,TE,3.0,0.6000000000000001,1.6,0.2,0.5,6.0,0.0
2020.0,2611d5c7dafd657b1865620de5b9a605,Trevon Wesco,FA,TE,12.0,0.5,1.5,0.04,0.1,5.0,0.0
2020.0,b610300c387e488932fae9e74f47d677,Isaac Nauta,FA,TE,7.0,0.30000000000000004,1.3,0.04,0.2,3.0,0.0
2020.0,872ccf186f7738dbb925c011c4507262,Marcus Baugh,FA,TE,8.0,0.19999999999999996,1.2,0.02,0.2,2.0,0.0
